scorer,,,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw
bodyparts,,,l_thumb_tip,l_thumb_tip,l_index_tip,l_index_tip,l_middle_tip,l_middle_tip,l_ring_tip,l_ring_tip,l_little_tip,l_little_tip,l_thumb_base,l_thumb_base,l_index_base,l_index_base,l_middle_base,l_middle_base,l_ring_base,l_ring_base,l_little_base,l_little_base,l_palm_center,l_palm_center,l_back_of_hand,l_back_of_hand,l_thumb_back,l_thumb_back,l_index_back,l_index_back,l_middle_back,l_middle_back,l_ring_back,l_ring_back,l_little_back,l_little_back,l_wrist,l_wrist,r_thumb_tip,r_thumb_tip,r_index_tip,r_index_tip,r_middle_tip,r_middle_tip,r_ring_tip,r_ring_tip,r_little_tip,r_little_tip,r_thumb_base,r_thumb_base,r_index_base,r_index_base,r_middle_base,r_middle_base,r_ring_base,r_ring_base,r_little_base,r_little_base,r_palm_center,r_palm_center,r_back_of_hand,r_back_of_hand,r_thumb_back,r_thumb_back,r_index_back,r_index_back,r_middle_back,r_middle_back,r_ring_back,r_ring_back,r_little_back,r_little_back,r_wrist,r_wrist
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img001.png,204.2809416280908,401.17339731285995,195.4342441007113,363.37387151405676,180.95782996499943,352.9186835271537,161.655944450717,355.33141921643903,142.35405893643448,369.00358812238915,188.1960370328554,410.8243400700012,184.17481088404654,382.6757570283392,172.11113243762,379.4587761092921,161.655944450717,381.87151179857744,147.1795303150051,387.50122840690983,163.2644349102405,406.80311392119233,,,,,,,,,,,,,,,234.03801512927632,397.95641639381284,246.90593880546461,360.9611358247714,259.77386248165294,351.31019306763017,274.25027661736476,355.33141921643903,303.2031048887885,368.1993428926273,249.31867449474996,404.390378231907,258.1653720221294,384.2842474878628,268.6205600090324,378.6545308795304,278.2715027661736,383.48000225810097,294.3564073614091,387.50122840690983,275.8587670768884,408.41160438071586,,,,,,,,,,,,,,
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img003.png,205.08518685785256,401.9776425426217,197.0427345602349,361.7653810545332,182.566320424523,353.7229287569155,163.2644349102405,356.93990967596255,140.74556847691096,369.00358812238915,189.80452749237892,406.80311392119233,184.17481088404654,382.6757570283392,172.91537766738176,380.2630213390539,160.0474539911934,380.2630213390539,147.1795303150051,389.10971886643335,161.655944450717,408.41160438071586,,,,,,,,,,,,,,,233.23376989951456,397.1521711640511,245.2974483459411,358.5484001354861,258.1653720221294,350.5059478378684,275.8587670768884,354.5271739866772,301.594614429265,369.80783335215085,251.73141018403524,410.0200948402394,256.5568815626059,382.6757570283392,269.4248052387942,381.0672665688157,277.4672575364119,381.87151179857744,291.94367167212374,385.8927379473863,272.64178615784124,409.2158496104777,,,,,,,,,,,,,,
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img008.png,200.25971547928194,395.54368070452756,195.4342441007113,363.37387151405676,186.58754657333188,353.7229287569155,175.32811335666705,359.3526453652479,158.43896353166988,371.41632381167443,187.39179180309364,407.6073591509541,182.566320424523,383.48000225810097,176.13235858642886,382.6757570283392,167.28566105904937,385.0884927176245,156.83047307214636,389.10971886643335,171.30688720785824,407.6073591509541,247.71018403522638,381.0672665688157,258.9696172518911,357.7441549057244,267.81631477927067,354.5271739866772,277.4672575364119,361.7653810545332,,,,,,,246.90593880546461,381.0672665688157,258.9696172518911,356.93990967596255,267.81631477927067,352.114438297392,279.07574799593544,358.5484001354861,287.9224455233149,378.6545308795304,259.77386248165294,394.73943547476574,269.4248052387942,380.2630213390539,274.25027661736476,378.6545308795304,282.2927289149825,384.2842474878628,286.31395506379135,394.73943547476574,271.83754092807953,408.41160438071586,,,,,,,,,,,,,,
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img012.png,,,,,,,,,,,,,,,,,,,,,172.11113243762,403.5861330021453,,,,,,,180.95782996499943,369.00358812238915,177.7408490459524,376.24179519024506,168.8941515185729,386.69698317714807,,,,,,,,,,,,,,,,,,,,,,,271.0332956983177,409.2158496104777,,,,,274.25027661736476,363.37387151405676,269.4248052387942,372.2205690414362,267.01206954950885,379.4587761092921,266.20782431974715,390.71820932595693,,
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img014.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.93660381619063,366.5908524331038,179.3493395054759,373.024814271198,176.13235858642886,382.6757570283392,157.63471830190812,402.78188777238347,,,,,,,,,,,,,,,,,,,,,,,,,,,279.87999322569715,366.5908524331038,274.25027661736476,372.2205690414362,267.81631477927067,375.4375499604833,263.7950886304618,389.10971886643335,280.68423845545897,401.9776425426217
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img015.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.28566105904937,371.41632381167443,171.30688720785824,376.24179519024506,176.93660381619063,385.0884927176245,161.655944450717,398.7606616235746,,,,,,,,,,,,,,,,,,,,,,,,,,,281.4884836852208,366.5908524331038,277.4672575364119,371.41632381167443,266.20782431974715,377.0460404200068,254.14414587332058,384.2842474878628,277.4672575364119,395.54368070452756
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img017.png,,,,,,,,,,,,,,,,,,,,,,,,,,,162.46018968047875,366.5908524331038,168.08990628881114,368.1993428926273,172.11113243762,376.24179519024506,181.76207519476125,382.6757570283392,160.0474539911934,396.3479259342893,,,,,,,,,,,,,,,,,,,,,,,,,,,277.4672575364119,366.5908524331038,267.81631477927067,366.5908524331038,262.1865981709383,377.0460404200068,250.12291972451172,382.6757570283392,268.6205600090324,394.73943547476574
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img024.png,,,,,,,,,,,,,,,,,,,,,,,,,162.46018968047875,369.80783335215085,180.95782996499943,352.9186835271537,189.00028226261716,354.5271739866772,190.60877272214063,365.7866072033421,200.25971547928194,381.0672665688157,173.7196228971435,410.02009484023944,280.68423845545897,102.79841707124314,321.7007451733093,78.67106017839001,356.28329005306546,188.04841142599076,363.52149712092137,161.50831884385235,,,,,,,,,,,,,,,,,287.1182002935532,376.24179519024506,268.6205600090324,352.114438297392,254.94839110308234,349.70170260810664,245.2974483459411,359.3526453652479,235.64650558879984,369.80783335215085,260.57810771141476,398.7606616235746
